,Unnamed: 0,passage,facts,facts_list,questions
0,0,"Chorioamnionitis: A condition during pregnancy that can cause unexplained fever with uterine tenderness, a high white blood cell count, rapid heart rate in the fetus, rapid heart rate in the woman, and/or foul-smelling vaginal discharge.","['Chorioamnionitis is a condition that occurs during pregnancy.', 'Chorioamnionitis can cause unexplained fever with uterine tenderness.', 'Chorioamnionitis can cause a high white blood cell count.', 'Chorioamnionitis can cause a rapid heart rate in the fetus.', 'Chorioamnionitis can cause a rapid heart rate in the woman.', 'Chorioamnionitis can cause foul-smelling vaginal discharge.']","['Chorioamnionitis is a condition that occurs during pregnancy.', 'Chorioamnionitis can cause unexplained fever with uterine tenderness.', 'Chorioamnionitis can cause a high white blood cell count.', 'Chorioamnionitis can cause a rapid heart rate in the fetus.', 'Chorioamnionitis can cause a rapid heart rate in the woman.', 'Chorioamnionitis can cause foul-smelling vaginal discharge.']","['Does chorioamnionitis occur during pregnancy?', 'Can chorioamnionitis cause unexplained fever with uterine tenderness?', 'Can chorioamnionitis cause a high white blood cell count?', 'Can chorioamnionitis cause a rapid heart rate in the fetus?', 'Can chorioamnionitis cause a rapid heart rate in the woman?', 'Can chorioamnionitis cause foul-smelling vaginal discharge?']"
1,1,"Q: I heard that the vitamin K shot might cause cancer. Is this true: A: No. In the early 1990s, a small study in England found an “association” between the vitamin K shot and childhood cancer. An association means that two things are happening at the same time in the same person, but doesn’t tell us whether one causes the other. Figuring out whether vitamin K might cause childhood cancer was very important because every newborn is expected to get a vitamin K shot. If vitamin K was causing cancer, we would expect to see the same association in other groups of children. Scientists looked to see if they could find the same association in other children, but this association between vitamin K and childhood cancer was never found again in any other study.","['In the early 1990s, a small study in England found an association between the vitamin K shot and childhood cancer.', 'An association means that two things are happening at the same time in the same person but does not tell us whether one causes the other.', 'Figuring out whether vitamin K might cause childhood cancer was very important because every newborn is expected to get a vitamin K shot.', 'If vitamin K was causing cancer, scientists would expect to see the same association in other groups of children.', 'Scientists looked to see if they could find the same association between vitamin K and childhood cancer in other children.', 'The association between vitamin K and childhood cancer was never found again in any other study.']","['In the early 1990s, a small study in England found an association between the vitamin K shot and childhood cancer.', 'An association means that two things are happening at the same time in the same person but does not tell us whether one causes the other.', 'Figuring out whether vitamin K might cause childhood cancer was very important because every newborn is expected to get a vitamin K shot.', 'If vitamin K was causing cancer, scientists would expect to see the same association in other groups of children.', 'Scientists looked to see if they could find the same association between vitamin K and childhood cancer in other children.', 'The association between vitamin K and childhood cancer was never found again in any other study.']","['Did a small study in England in the early 1990s find an association between the vitamin K shot and childhood cancer?', 'Does an association mean that two things are happening at the same time in the same person but does not tell us whether one causes the other?', 'Was it important to figure out whether vitamin K might cause childhood cancer because every newborn is expected to get a vitamin K shot?', 'Do scientists expect to see the same association between vitamin K and cancer in other groups of children?\n\n---', 'Did scientists investigate the association between vitamin K and childhood cancer in other children?', 'Was the association between vitamin K and childhood cancer ever found again in any other study?']"
2,2,"But what if you know for sure that you never want to be pregnant again, or even pregnant ever? You might be thinking about having your “tubes tied,” or going through a permanent sterilization procedure. But talking to your doctor about sterilization can be tricky! Especially if you’re young, you may worry that your doctor won’t take you seriously or will try to talk you out of it.","['Some people may know for sure that they never want to be pregnant again or ever.', 'Some people might be thinking about having their “tubes tied” or going through a permanent sterilization procedure.', 'Talking to a doctor about sterilization can be tricky.', 'Young people may worry that their doctor won’t take them seriously or will try to talk them out of sterilization.']","['Some people may know for sure that they never want to be pregnant again or ever.', 'Some people might be thinking about having their “tubes tied” or going through a permanent sterilization procedure.', 'Talking to a doctor about sterilization can be tricky.', 'Young people may worry that their doctor won’t take them seriously or will try to talk them out of sterilization.']","['Do some people know for sure that they never want to be pregnant again or ever?', 'Are some people considering having their “tubes tied” or undergoing a permanent sterilization procedure?', 'Is talking to a doctor about sterilization tricky?', 'Do young people worry that their doctor won’t take them seriously or will try to talk them out of sterilization?']"
3,3,Urine test. This is done to look for a substance that may show a certain type of microcephaly.,['A urine test is done to look for a substance that may show a certain type of microcephaly.'],['A urine test is done to look for a substance that may show a certain type of microcephaly.'],['Is a urine test done to look for a substance that may show a certain type of microcephaly?']
4,4,"Which children are at risk for X-linked agammaglobulinemia: Women who are carriers have a 1 in 2 chance of passing the faulty X chromosome to a child. This is true for every pregnancy. If a daughter gets the gene, she will likely be a healthy carrier like her mother. If a son gets the gene, he will have X-linked agammaglobulinemia.","['Women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child.', 'Women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child in every pregnancy.', 'If a daughter gets the faulty X chromosome gene, the daughter will likely be a healthy carrier like her mother.', 'If a son gets the faulty X chromosome gene, the son will have X-linked agammaglobulinemia.']","['Women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child.', 'Women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child in every pregnancy.', 'If a daughter gets the faulty X chromosome gene, the daughter will likely be a healthy carrier like her mother.', 'If a son gets the faulty X chromosome gene, the son will have X-linked agammaglobulinemia.']","['Do women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child?', 'Do women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child in every pregnancy?', 'Will a daughter who inherits the faulty X chromosome gene likely be a healthy carrier like her mother?', 'Will a son have X-linked agammaglobulinemia if he gets the faulty X chromosome gene?']"
5,5,"Your baby can go through periods of increased hunger and fussiness. This increase in hunger means your baby is going through a period of fast growth (a growth spurt). If you breastfeed, you might find your baby wants to eat more often (sometimes every hour!) during certain times of the day. This is called ""cluster feeding."" Formula-fed babies may want to eat more often or will drink more formula than usual during feedings.","['Babies can go through periods of increased hunger and fussiness.', 'An increase in hunger means a baby is going through a period of fast growth, also known as a growth spurt.', 'Breastfed babies might want to eat more often, sometimes every hour, during certain times of the day.', ""The behavior of wanting to eat more often during certain times of the day is called 'cluster feeding.'"", 'Formula-fed babies may want to eat more often during feedings.', 'Formula-fed babies may drink more formula than usual during feedings.']","['Babies can go through periods of increased hunger and fussiness.', 'An increase in hunger means a baby is going through a period of fast growth, also known as a growth spurt.', 'Breastfed babies might want to eat more often, sometimes every hour, during certain times of the day.', ""The behavior of wanting to eat more often during certain times of the day is called 'cluster feeding.'"", 'Formula-fed babies may want to eat more often during feedings.', 'Formula-fed babies may drink more formula than usual during feedings.']","['Do babies go through periods of increased hunger and fussiness?', 'Does an increase in hunger indicate that a baby is going through a growth spurt?', 'Do breastfed babies sometimes want to eat every hour during certain times of the day?', 'What is the behavior of wanting to eat more often during certain times of the day called?', 'Do formula-fed babies want to eat more often during feedings?', 'Do formula-fed babies drink more formula than usual during feedings?']"
6,6,"Jacqueline Maher, M.D., is a reproductive endocrinology and infertility specialist with a focus on pediatric and adolescent gynecology. She leads the female fertility preservation program at Children's National Hospital to counsel patients in egg freezing or ovarian tissue freezing, and post treatment premature ovarian insufficiency, and hormone replacement/ puberty induction. Her other clinical interests include reproductive endocrine disorders such as premature ovarian insufficiency, polycystic ovary syndrome, precocious puberty, endometriosis and complex contraception; as well as surgery for congenital anomalies of the reproductive tract such as vaginal and uterine septum.","['Jacqueline Maher, M.D., is a reproductive endocrinology and infertility specialist.', 'Jacqueline Maher, M.D., focuses on pediatric and adolescent gynecology.', ""Jacqueline Maher, M.D., leads the female fertility preservation program at Children's National Hospital."", ""The female fertility preservation program at Children's National Hospital counsels patients in egg freezing or ovarian tissue freezing."", ""The female fertility preservation program at Children's National Hospital addresses post-treatment premature ovarian insufficiency."", ""The female fertility preservation program at Children's National Hospital provides hormone replacement and puberty induction."", 'Jacqueline Maher, M.D., has clinical interests in reproductive endocrine disorders such as premature ovarian insufficiency.', 'Jacqueline Maher, M.D., has clinical interests in polycystic ovary syndrome.', 'Jacqueline Maher, M.D., has clinical interests in precocious puberty.', 'Jacqueline Maher, M.D., has clinical interests in endometriosis.', 'Jacqueline Maher, M.D., has clinical interests in complex contraception.', 'Jacqueline Maher, M.D., performs surgery for congenital anomalies of the reproductive tract.', 'Jacqueline Maher, M.D., performs surgery for vaginal septum.', 'Jacqueline Maher, M.D., performs surgery for uterine septum.']","['Jacqueline Maher, M.D., is a reproductive endocrinology and infertility specialist.', 'Jacqueline Maher, M.D., focuses on pediatric and adolescent gynecology.', ""Jacqueline Maher, M.D., leads the female fertility preservation program at Children's National Hospital."", ""The female fertility preservation program at Children's National Hospital counsels patients in egg freezing or ovarian tissue freezing."", ""The female fertility preservation program at Children's National Hospital addresses post-treatment premature ovarian insufficiency."", ""The female fertility preservation program at Children's National Hospital provides hormone replacement and puberty induction."", 'Jacqueline Maher, M.D., has clinical interests in reproductive endocrine disorders such as premature ovarian insufficiency.', 'Jacqueline Maher, M.D., has clinical interests in polycystic ovary syndrome.', 'Jacqueline Maher, M.D., has clinical interests in precocious puberty.', 'Jacqueline Maher, M.D., has clinical interests in endometriosis.', 'Jacqueline Maher, M.D., has clinical interests in complex contraception.', 'Jacqueline Maher, M.D., performs surgery for congenital anomalies of the reproductive tract.', 'Jacqueline Maher, M.D., performs surgery for vaginal septum.', 'Jacqueline Maher, M.D., performs surgery for uterine septum.']","['Is Jacqueline Maher, M.D., a reproductive endocrinology and infertility specialist?', 'Does Jacqueline Maher, M.D., focus on pediatric and adolescent gynecology?', ""Does Jacqueline Maher, M.D., lead the female fertility preservation program at Children's National Hospital?"", ""Does the female fertility preservation program at Children's National Hospital counsel patients in egg freezing or ovarian tissue freezing?"", ""Does the female fertility preservation program at Children's National Hospital address post-treatment premature ovarian insufficiency?"", ""Does the female fertility preservation program at Children's National Hospital provide hormone replacement and puberty induction?"", 'Does Jacqueline Maher, M.D., have clinical interests in reproductive endocrine disorders such as premature ovarian insufficiency?', 'Does Jacqueline Maher, M.D., have clinical interests in polycystic ovary syndrome?', 'Does Jacqueline Maher, M.D., have clinical interests in precocious puberty?', 'Does Jacqueline Maher, M.D., have clinical interests in endometriosis?', 'Does Jacqueline Maher, M.D., have clinical interests in complex contraception?', 'Does Jacqueline Maher, M.D., perform surgery for congenital anomalies of the reproductive tract?', 'Does Jacqueline Maher, M.D., perform surgery for vaginal septum?', 'Does Jacqueline Maher, M.D., perform surgery for uterine septum?']"
7,7,Note: Positive CRP results also occur during the last half of pregnancy or with the use of birth control pills (oral contraceptives).,"['Positive CRP results occur during the last half of pregnancy.', 'Positive CRP results occur with the use of birth control pills (oral contraceptives).']","['Positive CRP results occur during the last half of pregnancy.', 'Positive CRP results occur with the use of birth control pills (oral contraceptives).']","['Do positive CRP results occur during the last half of pregnancy?', 'Do positive CRP results occur with the use of birth control pills (oral contraceptives)?']"
8,8,Read more: Reflux gives preemie baby Ari an extra hurdle to overcome in her first weeks and months of life.,['Reflux gives preemie baby Ari an extra hurdle to overcome in her first weeks and months of life.'],['Reflux gives preemie baby Ari an extra hurdle to overcome in her first weeks and months of life.'],['Does reflux give preemie baby Ari an extra hurdle to overcome in her first weeks and months of life?']
9,9,"I often have a burning sensation in my vagina after my partner has ejaculated. My health care provider suggested I may have a semen allergy. Does a semen allergy affect the ability to get pregnant: Semen allergy, also called seminal plasma hypersensitivity, happens when you have a harmful immune system reaction to proteins in semen. This condition is not common. Semen allergy isn't a direct cause of infertility.","['A burning sensation in the vagina after a partner has ejaculated may be a symptom of a semen allergy.', 'A health care provider may suggest that a burning sensation in the vagina after ejaculation is due to a semen allergy.', 'A semen allergy is also called seminal plasma hypersensitivity.', 'A semen allergy occurs when the immune system has a harmful reaction to proteins in semen.', 'A semen allergy is not a common condition.', 'A semen allergy is not a direct cause of infertility.']","['A burning sensation in the vagina after a partner has ejaculated may be a symptom of a semen allergy.', 'A health care provider may suggest that a burning sensation in the vagina after ejaculation is due to a semen allergy.', 'A semen allergy is also called seminal plasma hypersensitivity.', 'A semen allergy occurs when the immune system has a harmful reaction to proteins in semen.', 'A semen allergy is not a common condition.', 'A semen allergy is not a direct cause of infertility.']","['Is a burning sensation in the vagina after a partner has ejaculated a symptom of a semen allergy?', 'Is a burning sensation in the vagina after ejaculation due to a semen allergy?', 'Is a semen allergy also called seminal plasma hypersensitivity?', 'Does a semen allergy occur when the immune system has a harmful reaction to proteins in semen?', 'Is a semen allergy a common condition?', 'Is a semen allergy a direct cause of infertility?']"
