,fact,question
0,Chorioamnionitis is a condition that occurs during pregnancy.,Does chorioamnionitis occur during pregnancy?
1,Chorioamnionitis can cause unexplained fever with uterine tenderness.,Can chorioamnionitis cause unexplained fever with uterine tenderness?
2,Chorioamnionitis can cause a high white blood cell count.,Can chorioamnionitis cause a high white blood cell count?
3,Chorioamnionitis can cause a rapid heart rate in the fetus.,Can chorioamnionitis cause a rapid heart rate in the fetus?
4,Chorioamnionitis can cause a rapid heart rate in the woman.,Can chorioamnionitis cause a rapid heart rate in the woman?
5,Chorioamnionitis can cause foul-smelling vaginal discharge.,Can chorioamnionitis cause foul-smelling vaginal discharge?
6,"In the early 1990s, a small study in England found an association between the vitamin K shot and childhood cancer.",Did a small study in England in the early 1990s find an association between the vitamin K shot and childhood cancer?
7,An association means that two things are happening at the same time in the same person but does not tell us whether one causes the other.,Does an association mean that two things are happening at the same time in the same person but does not tell us whether one causes the other?
8,Figuring out whether vitamin K might cause childhood cancer was very important because every newborn is expected to get a vitamin K shot.,Was it important to figure out whether vitamin K might cause childhood cancer because every newborn is expected to get a vitamin K shot?
9,"If vitamin K was causing cancer, scientists would expect to see the same association in other groups of children.","Do scientists expect to see the same association between vitamin K and cancer in other groups of children?

---"
10,Scientists looked to see if they could find the same association between vitamin K and childhood cancer in other children.,Did scientists investigate the association between vitamin K and childhood cancer in other children?
11,The association between vitamin K and childhood cancer was never found again in any other study.,Was the association between vitamin K and childhood cancer ever found again in any other study?
12,Some people may know for sure that they never want to be pregnant again or ever.,Do some people know for sure that they never want to be pregnant again or ever?
13,Some people might be thinking about having their “tubes tied” or going through a permanent sterilization procedure.,Are some people considering having their “tubes tied” or undergoing a permanent sterilization procedure?
14,Talking to a doctor about sterilization can be tricky.,Is talking to a doctor about sterilization tricky?
15,Young people may worry that their doctor won’t take them seriously or will try to talk them out of sterilization.,Do young people worry that their doctor won’t take them seriously or will try to talk them out of sterilization?
16,A urine test is done to look for a substance that may show a certain type of microcephaly.,Is a urine test done to look for a substance that may show a certain type of microcephaly?
17,Women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child.,Do women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child?
18,Women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child in every pregnancy.,Do women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child in every pregnancy?
19,"If a daughter gets the faulty X chromosome gene, the daughter will likely be a healthy carrier like her mother.",Will a daughter who inherits the faulty X chromosome gene likely be a healthy carrier like her mother?
20,"If a son gets the faulty X chromosome gene, the son will have X-linked agammaglobulinemia.",Will a son have X-linked agammaglobulinemia if he gets the faulty X chromosome gene?
21,Babies can go through periods of increased hunger and fussiness.,Do babies go through periods of increased hunger and fussiness?
22,"An increase in hunger means a baby is going through a period of fast growth, also known as a growth spurt.",Does an increase in hunger indicate that a baby is going through a growth spurt?
23,"Breastfed babies might want to eat more often, sometimes every hour, during certain times of the day.",Do breastfed babies sometimes want to eat every hour during certain times of the day?
24,The behavior of wanting to eat more often during certain times of the day is called 'cluster feeding.',What is the behavior of wanting to eat more often during certain times of the day called?
25,Formula-fed babies may want to eat more often during feedings.,Do formula-fed babies want to eat more often during feedings?
26,Formula-fed babies may drink more formula than usual during feedings.,Do formula-fed babies drink more formula than usual during feedings?
27,"Jacqueline Maher, M.D., is a reproductive endocrinology and infertility specialist.","Is Jacqueline Maher, M.D., a reproductive endocrinology and infertility specialist?"
28,"Jacqueline Maher, M.D., focuses on pediatric and adolescent gynecology.","Does Jacqueline Maher, M.D., focus on pediatric and adolescent gynecology?"
29,"Jacqueline Maher, M.D., leads the female fertility preservation program at Children's National Hospital.","Does Jacqueline Maher, M.D., lead the female fertility preservation program at Children's National Hospital?"
30,The female fertility preservation program at Children's National Hospital counsels patients in egg freezing or ovarian tissue freezing.,Does the female fertility preservation program at Children's National Hospital counsel patients in egg freezing or ovarian tissue freezing?
31,The female fertility preservation program at Children's National Hospital addresses post-treatment premature ovarian insufficiency.,Does the female fertility preservation program at Children's National Hospital address post-treatment premature ovarian insufficiency?
32,The female fertility preservation program at Children's National Hospital provides hormone replacement and puberty induction.,Does the female fertility preservation program at Children's National Hospital provide hormone replacement and puberty induction?
33,"Jacqueline Maher, M.D., has clinical interests in reproductive endocrine disorders such as premature ovarian insufficiency.","Does Jacqueline Maher, M.D., have clinical interests in reproductive endocrine disorders such as premature ovarian insufficiency?"
34,"Jacqueline Maher, M.D., has clinical interests in polycystic ovary syndrome.","Does Jacqueline Maher, M.D., have clinical interests in polycystic ovary syndrome?"
35,"Jacqueline Maher, M.D., has clinical interests in precocious puberty.","Does Jacqueline Maher, M.D., have clinical interests in precocious puberty?"
36,"Jacqueline Maher, M.D., has clinical interests in endometriosis.","Does Jacqueline Maher, M.D., have clinical interests in endometriosis?"
37,"Jacqueline Maher, M.D., has clinical interests in complex contraception.","Does Jacqueline Maher, M.D., have clinical interests in complex contraception?"
38,"Jacqueline Maher, M.D., performs surgery for congenital anomalies of the reproductive tract.","Does Jacqueline Maher, M.D., perform surgery for congenital anomalies of the reproductive tract?"
39,"Jacqueline Maher, M.D., performs surgery for vaginal septum.","Does Jacqueline Maher, M.D., perform surgery for vaginal septum?"
40,"Jacqueline Maher, M.D., performs surgery for uterine septum.","Does Jacqueline Maher, M.D., perform surgery for uterine septum?"
41,Positive CRP results occur during the last half of pregnancy.,Do positive CRP results occur during the last half of pregnancy?
42,Positive CRP results occur with the use of birth control pills (oral contraceptives).,Do positive CRP results occur with the use of birth control pills (oral contraceptives)?
43,Reflux gives preemie baby Ari an extra hurdle to overcome in her first weeks and months of life.,Does reflux give preemie baby Ari an extra hurdle to overcome in her first weeks and months of life?
44,A burning sensation in the vagina after a partner has ejaculated may be a symptom of a semen allergy.,Is a burning sensation in the vagina after a partner has ejaculated a symptom of a semen allergy?
45,A health care provider may suggest that a burning sensation in the vagina after ejaculation is due to a semen allergy.,Is a burning sensation in the vagina after ejaculation due to a semen allergy?
46,A semen allergy is also called seminal plasma hypersensitivity.,Is a semen allergy also called seminal plasma hypersensitivity?
47,A semen allergy occurs when the immune system has a harmful reaction to proteins in semen.,Does a semen allergy occur when the immune system has a harmful reaction to proteins in semen?
48,A semen allergy is not a common condition.,Is a semen allergy a common condition?
49,A semen allergy is not a direct cause of infertility.,Is a semen allergy a direct cause of infertility?
50,Birth defects are common conditions.,Are birth defects common conditions?
51,Birth defects are costly conditions.,Are birth defects costly conditions?
52,Birth defects are critical conditions.,Are birth defects considered critical conditions?
53,Birth defects affect 1 in every 33 babies born in the United States each year.,Do birth defects affect 1 in every 33 babies born in the United States each year?
54,Women can improve their chances of having a baby born without a birth defect.,Can women improve their chances of having a baby born without a birth defect?
55,Health care providers agree that breastfeeding is one of the healthiest choices a mother can make for herself and her child.,Do health care providers agree that breastfeeding is one of the healthiest choices a mother can make for herself and her child?
56,Many mothers experience challenges with breastfeeding along the way.,Do many mothers experience challenges with breastfeeding along the way?
57,"Some physical disabilities affect bone density, including cerebral palsy, anorexia, and congenital conditions.","Do cerebral palsy, anorexia, and congenital conditions affect bone density?"
58,"Osteoporosis, which is characterized by low bone density, is a concern for people with certain physical disabilities.","Is osteoporosis, characterized by low bone density, a concern for people with certain physical disabilities?"
59,"The shot, which temporarily decreases bone density while in use, is probably not the best option for people with disabilities that affect bone density.","Does the shot temporarily decrease bone density while in use, making it probably not the best option for people with disabilities that affect bone density?"
60,"The speaker's mother, stepfather, father, and stepmother all live in Indiana.","Do the speaker's mother, stepfather, father, and stepmother all live in Indiana?"
61,"The speaker talks to their mother and stepfather a few times a week, usually to check in and just chat.",Do you talk to your mother and stepfather a few times a week to check in and just chat?
62,The speaker is very close to their mother and always used to talk frequently with her even before COVID-19.,Did the speaker frequently talk to their mother even before COVID-19?
63,Multiple people in the speaker's family have an increased risk of adverse outcomes with pre-existing conditions if they were to get COVID-19.,Do multiple people in your family have an increased risk of adverse outcomes with pre-existing conditions if they were to get COVID-19?
64,"The speaker has not traveled home, and their family members have not traveled to visit the speaker due to the risk of COVID-19.",Have the speaker and their family members avoided traveling to see each other due to the risk of COVID-19?
65,"If donor eggs are being used, the same steps are taken as with non-donor eggs.",Are the same steps taken with donor eggs as with non-donor eggs?
66,The egg donor will complete ovarian stimulation.,Will the egg donor complete ovarian stimulation?
67,The egg donor will undergo egg retrieval.,Will the egg donor undergo egg retrieval?
68,"After fertilization takes place, the embryo is transferred to the person who intends to carry the pregnancy.",Is the embryo transferred to the person who intends to carry the pregnancy after fertilization takes place?
69,The embryo transfer to the person who intends to carry the pregnancy can occur with or without various fertility medications.,Can the embryo transfer to the person who intends to carry the pregnancy occur with or without various fertility medications?
70,A low sperm count is diagnosed as part of a semen analysis test.,Is a low sperm count diagnosed as part of a semen analysis test?
71,Sperm count is generally determined by examining semen under a microscope.,Is sperm count determined by examining semen under a microscope?
72,The examination of semen under a microscope involves counting how many sperm appear within squares on a grid pattern.,Does the examination of semen under a microscope involve counting how many sperm appear within squares on a grid pattern?
73,"In some cases, a computer might be used to measure sperm count.",Can a computer be used to measure sperm count in some cases?
74,Parents should make sure their baby is vaccinated.,Should parents make sure their baby is vaccinated?
75,A baby who is fully immunized is at lower risk for Sudden Infant Death Syndrome (SIDS).,Is a baby who is fully immunized at lower risk for Sudden Infant Death Syndrome (SIDS)?
76,Most people associate ultrasound with pregnancy.,Do most people associate ultrasound with pregnancy?
77,Healthcare providers use ultrasound for many different situations.,Do healthcare providers use ultrasound for many different situations?
78,Healthcare providers use ultrasound to look at several different parts of the inside of the body.,Do healthcare providers use ultrasound to look at several different parts of the inside of the body?
79,Some providers may recommend CA 125 testing combined with transvaginal ultrasound every 6 to 12 months for those at very high risk.,Do some providers recommend CA 125 testing combined with transvaginal ultrasound every 6 to 12 months for those at very high risk?
80,Gestational diabetes usually develops around the 24th week of pregnancy.,Does gestational diabetes usually develop around the 24th week of pregnancy?
81,Pregnant individuals will probably be tested for gestational diabetes between 24 and 28 weeks of pregnancy.,Will pregnant individuals probably be tested for gestational diabetes between 24 and 28 weeks of pregnancy?
