,fact,question
0,Chorioamnionitis is a condition that occurs during pregnancy.,When does chorioamnionitis occur?
1,Chorioamnionitis can cause unexplained fever with uterine tenderness.,Can chorioamnionitis cause unexplained fever with uterine tenderness?
2,Chorioamnionitis can cause a high white blood cell count.,Can chorioamnionitis cause a high white blood cell count?
3,Chorioamnionitis can cause a rapid heart rate in the fetus.,Can chorioamnionitis cause a rapid heart rate in the fetus?
4,Chorioamnionitis can cause a rapid heart rate in the woman.,Can chorioamnionitis cause a rapid heart rate in the woman?
5,Chorioamnionitis can cause foul-smelling vaginal discharge.,Can chorioamnionitis cause foul-smelling vaginal discharge?
6,"In the early 1990s, a small study in England found an association between the vitamin K shot and childhood cancer.",Did a small study in England in the early 1990s find an association between the vitamin K shot and childhood cancer?
7,Figuring out whether vitamin K might cause childhood cancer was very important because every newborn is expected to get a vitamin K shot.,Why was it important to figure out whether vitamin K might cause childhood cancer?
8,"If vitamin K was causing cancer, scientists would expect to see this association between the vitamin K shot and childhood cancer. in other groups of children.",Do scientists expect to see the same association between vitamin K and cancer in other groups of children?
9,The association between vitamin K and childhood cancer was never found again in any other study rather than the the England study from the early 1990s.,Was the association between vitamin K and childhood cancer ever found again in any other study?
10,Some people may know for sure that they never want to be pregnant again or ever.,Do some people know for sure that they never want to be pregnant again or ever?
11,Some people might be thinking about having their “tubes tied” or going through a permanent sterilization procedure.,Are some people considering having their “tubes tied” or undergoing a permanent sterilization procedure?
12,Talking to a doctor about sterilization can be tricky for young people as they may worry that their doctor won’t take them seriously or will try to talk them out of sterilization.,Can talking to a doctor about sterilization be tricky?
13,A urine test is done to look for a substance that may show a certain type of microcephaly.,Is a urine test done to look for a substance that may show a certain type of microcephaly?
14,Women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child.,What is the change for women who are carriers of the faulty X chromosome of passing the faulty X chromosome to a child?
15,Women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child in every pregnancy.,Do women who are carriers of the faulty X chromosome have a 1 in 2 chance of passing the faulty X chromosome to a child in every pregnancy?
16,"When a woman carries the faulty X chromosome, and her daughter gets the gene, the daughter will likely be a healthy carrier like her mother.",Will a daughter who inherits the faulty X chromosome gene likely be a healthy carrier like her mother?
17,"When a woman carries the faulty X chromosome, if her son gets the faulty X chromosome gene, the son will have X-linked agammaglobulinemia.",Will a son have X-linked agammaglobulinemia if he gets the faulty X chromosome gene?
18,Babies can go through periods of increased hunger and fussiness.,Do babies go through periods of increased hunger and fussiness?
19,"When a baby has an increase in hunger means the baby is going through a period of fast growth, also known as a growth spurt.",What does an increase in hunger in a baby mean?
20,"Breastfed babies might want to eat more often, sometimes every hour, during certain times of the day.",Do breastfed babies sometimes want to eat every hour during certain times of the day?
21,The behavior of babies wanting to eat more often during certain times of the day is called 'cluster feeding.',What is the behavior of wanting to eat more often during certain times of the day called?
22,Formula-fed babies may want to eat more often during feedings.,Do formula-fed babies want to eat more often during feedings?
23,Formula-fed babies may drink more formula than usual during feedings.,Do formula-fed babies drink more formula than usual during feedings?
24,Positive CRP results occur during the last half of pregnancy.,When positive CRP results occur?
25,Positive CRP results occur with the use of birth control pills (oral contraceptives).,Can the the use of birth control pills cause positive CRP results?
26,A burning sensation in the vagina after a partner has ejaculated may be a symptom of a semen allergy.,What I have a burning sensation in the vagina after my partner has ejaculated?
