,answerPassageId,createdAt,answerPassageText,authorUID,question,corpusVersion,language
1,2051-40,2023-05-11 10:31:47.754609+00:00,"ha demostrado que protege tanto a la madre como al bebé (de hasta 6 meses) contra la gripe (no se debe suministrar la vacuna en su presentación de atomizador nasal a mujeres embarazadas). Si te enfermas y presentas síntomas similares a los de la gripe, comunícate con tu médico a la brevedad. De ser necesario, el médico te prescribirá medicamentos antivirales para tratar la gripe. Listeriosis (listeriosis) Una infección causada por una bacteria muy peligrosa llamada listeria.

source: https://espanol.womenshealth.gov/pregnancy/youre-pregnant-now-what/pregnancy-complications",l3eCwZbbUNTonTWXrUayZ2no5C93,Por que mi bebe se enferma mucho de la gripe,v0.1,es
10,43431-6,2024-05-02 11:45:14.589518+00:00,"Crear el apego: Formar un vínculo de apego con su bebé será probablemente uno de los aspectos más placenteros de su cuidado. Puede empezar acunando al bebé, meciéndolo en su regazo y acariciándolo suavemente. Si usted y su pareja sostienen, tocan y abrazan a su bebé a menudo, su pequeño pronto aprenderá a distinguir entre sus formas de tocarlo. Ambos pueden aprovechar la oportunidad de estar ""piel a piel"" con su recién nacido, manteniéndolo en contacto con su propia piel mientras lo alimentan o lo acunan.

Continúe leyendo aquí: https://kidshealth.org/es/parents/bonding.html",lorena-trial,¿Cuáles son algunas formas de involucrar a mi pareja en el cuidado de nuestro bebé?,v0.1,es
12,43409-22,2024-05-02 11:49:27.780087+00:00,"Comenzar a darle alimentos sólidos al bebé: Sepa si su bebé está listo para los alimentos sólidos y, de ser así, qué alimentos darle, cómo dárselos y cuáles evitar.

Continúe leyendo aquí: https://kidshealth.org/es/parents/feed47m.html",lorena-trial,¿Cuáles son algunos consejos para introducir alimentos sólidos a mi bebé?,v0.1,es
50,829-0,2024-05-02 11:49:06.102279+00:00,"Desafíos frecuentes de la lactancia materna: La lactancia materna puede ser difícil, especialmente los primeros días. Pero recuerda que no estás sola. Los consultores en lactancia pueden ayudarte a encontrar la mejor manera de amamantar para ti y tu bebé. Algunas mujeres enfrentan muchos problemas diferentes durante la lactancia, y otras no. Además, muchas mujeres tienen ciertos problemas con su primer bebé que no tienen con su segundo o tercer bebé.

Continúe leyendo aquí: https://espanol.womenshealth.gov/breastfeeding/breastfeeding-challenges/common-breastfeeding-challenges",lorena-trial,¿Cuáles son algunos desafíos comunes de la lactancia materna y cómo puedo superarlos?,v0.1,es
78,1461-32,2023-05-17 11:21:03.675000+00:00,"Sepa si los antibióticos ayudarán a su hijo a sentirse mejor, o si todo lo que necesita es un poco de amor.

source: https://kidshealth.org/es/parents/otitis-media.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Que medicamento puede tomar la mamá para una infección de oído,v0.1,es
84,46220-3,2024-05-02 11:45:05.648685+00:00,"<br>- Fiebre. Si tu bebé tiene menos de 3 meses y presenta fiebre, comunícate con el proveedor de atención médica<br>- Si tu bebé tiene entre 3 y 6 meses, presenta una temperatura de hasta 102 °F (38,9 °C) y parece enfermo, o si presenta una temperatura superior a 102 °F (38,9 °C), comunícate con el proveedor de atención médica<br>- Si tu bebé tiene entre 6 y 24 meses y presenta una temperatura superior a 102 °F (38,9 °C) que dura más de un día, pero no muestra ningún otro signo ni síntoma, comunícate con el proveedor de atención médica. Si tu bebé también presenta otros signos o síntomas, como resfriado, tos o diarrea, quizás debas comunicarte con el proveedor de atención médica antes, según la gravedad<br>- Si tu bebé tiene fiebre que dura más de tres días, comunícate con el proveedor de atención médica

Continúe leyendo aquí: https://www.mayoclinic.org/es/healthy-lifestyle/infant-and-toddler-health/in-depth/healthy-baby/art-20047793",lorena-trial,¿Cuáles son algunas señales de que mi bebé está enfermo y necesita ver a un médico?,v0.1,es
98,1552-2,2023-05-06 11:34:07.180959+00:00,"El dolor durante el trabajo de parto es ocasionado por las contracciones de los músculos y la presión sobre el cuello uterino. Este dolor se puede sentir como un cólico intenso en el abdomen, las ingles y la espalda, y también como una sensación de malestar general. Algunas mujeres también experimentan dolor en los costados o en los muslos.

source: https://kidshealth.org/es/parents/childbirth-pain.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque me duele el cuello despues del parto,v0.1,es
149,716-13,2023-04-29 09:42:51.258554+00:00,"La cirugía se hace a través de la boca abierta del niño, sin necesidad de hacerle ningún corte en la piel ni de dejarle ninguna cicatriz.

source: https://kidshealth.org/es/parents/adenoids.html",AelZYirIiKRU36tUn84YHMSPNkE2,Adios,v0.1,es
152,37876-23,2024-05-01 20:42:39.453766+00:00,"Calmar al bebé: Después de que comienza un episodio de cólicos, puede poner en práctica medidas para calmar al bebé.

Continúe leyendo aquí: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.hw31504",lorena-trial,¿Cómo puedo calmar el cólico de mi bebé?,v0.1,es
154,1077-17,2023-05-17 10:09:16.803418+00:00,"El cuerpo se su hijo también está madurando. Esto significa que tal vez quiera tener una relación romántica que incluya sexo. Si su hijo quiere mantener este tipo de relaciones, dígale que hable con su médico para que le explique cómo protegerse tanto de los embarazos no deseados como de las enfermedades de transmisión sexual (ETS).

source: https://kidshealth.org/es/parents/autism-checklist-teens.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Como se si mi hijo tiene autismo,v0.1,es
